province_code,kabupaten_code,kecamatan_code,lat,lng,province_name,kabupaten_name,kecamatan_name
35,9,10,-8.306383,113.335403,JAWA TIMUR,JEMBER,KENCONG
35,9,20,-8.3336393,113.3942622,JAWA TIMUR,JEMBER,GUMUK MAS
35,9,30,-8.4779418,113.3704466,JAWA TIMUR,JEMBER,PUGER
35,9,40,-8.3654775,113.5371368,JAWA TIMUR,JEMBER,WULUHAN
35,9,50,-8.3813553,113.6085612,JAWA TIMUR,JEMBER,AMBULU
35,9,60,-8.4005782,113.7870822,JAWA TIMUR,JEMBER,TEMPUREJO
35,9,70,-8.2726104,113.8822686,JAWA TIMUR,JEMBER,SILO
35,9,80,-8.2068055,113.7989815,JAWA TIMUR,JEMBER,MAYANG
35,9,90,-8.250372,113.7513827,JAWA TIMUR,JEMBER,MUMBULSARI
35,9,100,-8.2969666,113.6561725,JAWA TIMUR,JEMBER,JENGGAWAH
35,9,110,-8.2359916,113.6561725,JAWA TIMUR,JEMBER,AJUNG
35,9,120,-8.2186257,113.6085612,JAWA TIMUR,JEMBER,RAMBIPUJI
35,9,130,-8.2637032,113.5371368,JAWA TIMUR,JEMBER,BALUNG
35,9,140,-8.2507077,113.4180769,JAWA TIMUR,JEMBER,UMBULSARI
35,9,150,-8.183508,113.4359374,JAWA TIMUR,JEMBER,SEMBORO
35,9,160,-8.2129304,113.3704466,JAWA TIMUR,JEMBER,JOMBANG
35,9,170,-8.0989645,113.4061697,JAWA TIMUR,JEMBER,SUMBER BARU
35,9,180,-8.0932025,113.5014213,JAWA TIMUR,JEMBER,TANGGUL
35,9,190,-8.1715065,113.5490415,JAWA TIMUR,JEMBER,BANGSALSARI
35,9,200,-8.0034814,113.6442701,JAWA TIMUR,JEMBER,PANTI
35,9,210,-8.1189113,113.6621236,JAWA TIMUR,JEMBER,SUKORAMBI
35,9,220,-8.1043965,113.7335321,JAWA TIMUR,JEMBER,ARJASA
35,9,230,-8.1677158,113.7751826,JAWA TIMUR,JEMBER,PAKUSARI
35,9,240,-8.1257003,113.7989815,JAWA TIMUR,JEMBER,KALISAT
35,9,250,-8.1509362,113.8822686,JAWA TIMUR,JEMBER,LEDOKOMBO
35,9,260,-8.0763916,113.941751,JAWA TIMUR,JEMBER,SUMBERJAMBE
35,9,270,-8.0634771,113.8227792,JAWA TIMUR,JEMBER,SUKOWONO
35,9,280,-8.0693036,113.7275817,JAWA TIMUR,JEMBER,JELBUK
35,9,710,-8.189193,113.6740257,JAWA TIMUR,JEMBER,KALIWATES
35,9,720,-8.170662,113.7275817,JAWA TIMUR,JEMBER,SUMBERSARI
35,9,730,-8.137,113.697829,JAWA TIMUR,JEMBER,PATRANG
